% Calcite 25 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)  
  0.053057      8.30198      2.33873    0.0482384    0.0975199   0.00124756    0.0122325    0.0185752    0.0245136
  0.055509      8.29256      2.33554     0.049313     0.097613   0.00102612    0.0123609     0.018693    0.0255723
  0.057962      8.28334      2.33236    0.0503826    0.0976661  0.000844556    0.0124893    0.0188082    0.0266269
  0.060414      8.27428       2.3292    0.0514478    0.0976869  0.000695335    0.0126178    0.0189215    0.0276775
  0.062882       8.2653      2.32602    0.0525155    0.0976814  0.000571568    0.0127471    0.0190337    0.0287306
  0.065350      8.25644      2.32286    0.0535794    0.0976537   0.00046995    0.0128764    0.0191445    0.0297797
  0.067818      8.24769      2.31971    0.0546396    0.0976078   0.00038665    0.0130056    0.0192539    0.0308249
  0.070286      8.23902      2.31657    0.0556964     0.097547  0.000318208    0.0131347    0.0193622    0.0318662
  0.072953      8.22974      2.31319    0.0568348    0.0974681  0.000257668    0.0132742    0.0194782    0.0329871
  0.075620      8.22054      2.30982    0.0579696    0.0973777  0.000208704    0.0134136    0.0195932    0.0341036
  0.078287      8.21141      2.30647     0.059101     0.097278    0.0001692    0.0135528    0.0197074    0.0352156
  0.080955      8.20234      2.30312     0.060229    0.0971709  0.000137225    0.0136919    0.0198207    0.0363233
  0.084074       8.1918      2.29923     0.061544    0.0970384  0.000107281    0.0138543    0.0199525    0.0376131
  0.087193      8.18133      2.29535    0.0628548    0.0968996  8.39031e-05    0.0140165    0.0200834     0.038897
  0.090312      8.17092      2.29149    0.0641614    0.0967557  6.57556e-05    0.0141785    0.0202135     0.040175
  0.093431      8.16056      2.28764    0.0654638    0.0966082  5.15747e-05    0.0143402     0.020343    0.0414472
  0.097103      8.14844      2.28313    0.0669919    0.0964312   3.8512e-05    0.0145303    0.0204945    0.0429374
  0.100774      8.13638      2.27865    0.0685145     0.096251  2.89979e-05      0.01472    0.0206453    0.0444197
  0.104446      8.12439      2.27418    0.0700317    0.0960682  2.24271e-05    0.0149094    0.0207952    0.0458941
  0.108118      8.11245      2.26973    0.0715437    0.0958842  1.73759e-05    0.0150984    0.0209444    0.0473607
  0.113539      8.09493      2.26321    0.0737663    0.0956125  1.07184e-05    0.0153767    0.0211634    0.0495119
  0.118959      8.07753      2.25673    0.0759776    0.0953387  7.02643e-06    0.0156543    0.0213809    0.0516465
  0.124380      8.06026      2.25029     0.078178    0.0950625  6.37747e-06    0.0159311    0.0215968    0.0537646
  0.129801      8.04309       2.2439    0.0803674    0.0947872   5.7457e-06    0.0162071    0.0218114    0.0558664
  0.135594      8.02485      2.23711    0.0826953    0.0944953  3.57272e-06    0.0165011    0.0220393     0.058095
  0.141387      8.00674      2.23038    0.0850111    0.0942035   2.2443e-06    0.0167943    0.0222657    0.0603054
  0.147181      7.98876      2.22369    0.0873148    0.0939119  1.60215e-06    0.0170865    0.0224906    0.0624979
  0.152974      7.97089      2.21705    0.0896067     0.093621   1.1881e-06    0.0173778    0.0227139    0.0646727
  0.163468      7.93881      2.20514    0.0937286    0.0930964  3.15374e-07    0.0179033    0.0231148    0.0685681
  0.173962      7.90712      2.19337    0.0978129    0.0925747 -4.75532e-07    0.0184258     0.023511    0.0724075
  0.184457      7.87579      2.18176      0.10186    0.0920559  -1.2632e-06    0.0189454    0.0239027     0.076192
  0.194951      7.84481      2.17028     0.105872      0.09154 -2.06192e-06     0.019462    0.0242898    0.0799229
  0.230389      7.74278      2.13256      0.11916    0.0898193 -4.72366e-06    0.0211855    0.0255653    0.0921403
  0.265828      7.64448      2.09633     0.132072    0.0881309 -7.35419e-06    0.0228765     0.026794       0.1038
  0.301266      7.54968      2.06149     0.144631    0.0864742 -9.95463e-06    0.0245357     0.027979     0.114939
  0.336704      7.45815      2.02796      0.15686    0.0848487  -1.2526e-05    0.0261638    0.0291232     0.125591
  0.483120      7.11026      1.90149     0.204317    0.0784506 -2.28627e-05    0.0325722    0.0334718     0.165096
  0.629536      6.80354      1.79142     0.247578    0.0725354 -3.27762e-05    0.0384974    0.0373057     0.198503
  0.775951      6.52962      1.69437     0.287473    0.0670666 -4.23118e-05    0.0439757    0.0407297      0.22708
  0.922367      6.28188      1.60772     0.324674    0.0620106 -5.15073e-05    0.0490409    0.0438265     0.251804
  1.116338      5.98612       1.5058     0.370615    0.0558945 -6.32162e-05    0.0551687    0.0475235     0.279792
  1.310309       5.7206      1.41586      0.41341    0.0503825 -7.44329e-05     0.060692    0.0508425     0.303365
  1.504281      5.47942      1.33553     0.453654    0.0454151 -8.52009e-05    0.0656701    0.0538573     0.323406
  1.698252      5.25798        1.263     0.491816    0.0409381 -9.55563e-05    0.0701575    0.0566252     0.340593
  2.016344      4.92948      1.15763     0.550664    0.0345286 -0.000111715    0.0765831    0.0607315     0.363854
  2.334436      4.63512       1.0656     0.605789    0.0291248 -0.000126943    0.0820021     0.064411     0.382304
  2.652528      4.36693     0.983777     0.658028    0.0245729 -0.000141325    0.0865684    0.0677633     0.397097
  2.970619      4.11966     0.910021      0.70788    0.0207344 -0.000154918    0.0904205    0.0708542     0.409049
  3.300043      3.88271     0.840831      0.75714    0.0173865   -0.0001682    0.0937817    0.0738161     0.419014
  3.629466      3.66232     0.777715     0.804196    0.0145808  -0.00018074    0.0965999     0.076571     0.427045
  3.958890      3.45562     0.719546     0.849352    0.0122321 -0.000192599    0.0989605    0.0791548     0.433551
  4.288313      3.26048     0.665508     0.892859    0.0102632 -0.000203796     0.100941     0.081594     0.438816
  4.594922       3.0888     0.618631     0.931806   0.00871534 -0.000213635     0.102498      0.08374     0.442781
  4.901531      2.92655     0.574837     0.969115   0.00740193 -0.000222955     0.103821    0.0857681     0.446024
  5.208140      2.77287     0.533771      1.00487   0.00628828 -0.000231793     0.104944    0.0876891     0.448679
  5.514748      2.62698      0.49514      1.03917   0.00534312 -0.000240162     0.105897    0.0895127     0.450847
  5.817131      2.49074      0.45935      1.07148   0.00455007 -0.000247969     0.106698    0.0912157     0.452584
  6.119514      2.36222     0.425812      1.10219   0.00387549 -0.000255365      0.10738    0.0928223     0.453998
  6.421897      2.24091     0.394339      1.13136   0.00330205 -0.000262379      0.10796    0.0943386     0.455151
  6.724279      2.12632     0.364761      1.15906   0.00281414 -0.000269027     0.108455     0.095771     0.456087
  7.022183      2.02002     0.337445      1.18489   0.00240416 -0.000275229     0.108871    0.0970998     0.456834
  7.320087      1.92034     0.311925       1.2092   0.00205449 -0.000281115     0.109227    0.0983458     0.457439
  7.617990      1.82688     0.288077      1.23206   0.00175642 -0.000286708      0.10953    0.0995139     0.457931
  7.915894      1.73927     0.265781      1.25356   0.00150211 -0.000292022      0.10979     0.100609      0.45833
  8.215873      1.65689     0.244867      1.27383   0.00128348 -0.000297104     0.110014     0.101639     0.458653
  8.515853       1.5803     0.225464      1.29271   0.00109715 -0.000301939     0.110205     0.102596     0.458914
  8.815832      1.50914     0.207467      1.31028  0.000938428 -0.000306548     0.110368     0.103486     0.459125
  9.115812      1.44305     0.190777      1.32663  0.000803106 -0.000310944     0.110508     0.104312     0.459295
  9.422224      1.38061     0.175032       1.3421  0.000685293 -0.000315226      0.11063     0.105092     0.459435
  9.728636      1.32315     0.160558      1.35635  0.000585177 -0.000319317     0.110734     0.105811     0.459547
 10.035047      1.27031     0.147262      1.36946  0.000500153 -0.000323236     0.110823     0.106471     0.459638
 10.341459      1.22175     0.135054      1.38152   0.00042787 -0.000326994     0.110899     0.107078     0.459711
 10.662405      1.17526     0.123374      1.39308   0.00036364 -0.000330769     0.110967     0.107659     0.459773
 10.983351      1.13302     0.112768      1.40359  0.000309445 -0.000334397     0.111025     0.108187     0.459822
 11.304297      1.09468     0.103147      1.41313   0.00026375 -0.000337892     0.111074     0.108666     0.459862
 11.625243      1.05992    0.0944266      1.42179  0.000225173 -0.000341266     0.111116     0.109101     0.459894
 11.973462      1.02595      0.08591      1.43025  0.000190008   -0.0003448     0.111155     0.109526     0.459922
 12.321680     0.995595    0.0783024      1.43781  0.000160737 -0.000348219     0.111187     0.109905     0.459945
 12.669899     0.968497     0.071513      1.44456    0.0001364 -0.000351535     0.111215     0.110244     0.459963
 13.018118     0.944318    0.0654568      1.45059  0.000116128 -0.000354758     0.111239     0.110546     0.459977
 13.415849     0.919917    0.0593464      1.45667  9.70152e-05 -0.000358339     0.111261     0.110851     0.459991
 13.813581     0.898569    0.0540021      1.46199  8.14979e-05 -0.000361825      0.11128     0.111118     0.460002
 14.211313      0.87988    0.0493245      1.46665  6.89292e-05 -0.000365229     0.111296     0.111351     0.460011
 14.609045     0.863505    0.0452266      1.47074  5.87135e-05 -0.000368562      0.11131     0.111556     0.460018
 15.084045      0.84657    0.0409899      1.47496   4.8916e-05 -0.000372459     0.111324     0.111768     0.460025
