time_d pH Ptot_atm pH2_atm pCO2_atm pCH4_atm CH4_g_mol H2_g_mol CO2_g_mol SO4 Formate Acetate Ca
0.0 7.0 3.6981696993441506 0.0 3.6981696993441506 0.0 0.0 0.0 0.0 0.0003699999999999999 0.0 9.99999999999999e-07 0.004100000000000001
0.96 5.796257027165798 80.98918256556172 9.114172176219885 2.7816506094052014 69.09236225252204 0.7637749750134833 0.10075175314913005 0.030749493220801918 0.0003711198157913673 0.0001352126818564223 3.758025527526286e-11 0.010863578662329938
1.92 5.795144551473926 80.9844465173447 9.110663032421535 2.780583227859969 69.09220260017011 0.7637754859595707 0.10071326174484026 0.030737785541431747 0.0003711279628646665 0.0003306956955106902 1.5475629149306563e-19 0.01093868947871006
2.88 5.794070249682618 80.97984478173277 9.10725459667181 2.779544186707661 69.09204821662651 0.7637759836193423 0.10067587395633888 0.030726388202585806 0.0003711359272968319 0.0005205736157062268 0.0 0.011011807813140305
3.84 5.793033354614303 80.97537670207089 9.103946267191908 2.778533523679373 69.09189900921226 0.7637764679551051 0.10063958328157359 0.030715301667048417 0.0003711437087504117 0.0007048794795835138 0.0 0.011082930831692083
4.8 5.792031558111005 80.9710348787588 9.100732456509219 2.777549742296828 69.09175466198474 0.7637769396583628 0.10060432852349466 0.03070450956554836 0.0003711513200180635 0.0008839240962516565 0.0 0.011152163649085079
5.76 5.791063002457811 80.96681357234033 9.097608817470007 2.776591701470471 69.09161492349341 0.7637773992508362 0.10057006207916488 0.030693999422041308 0.0003711587663271741 0.0010579492348607186 0.0 0.011219586401347422
6.72 5.79012829401593 80.9627173482448 9.094578645003535 2.7756605725175327 69.09147989297237 0.7637778461508644 0.10053682016799906 0.03068378412234811 0.00037116602597123377 0.0012267709733387651 0.0 0.011285116575006266
7.68 5.789224538185192 80.9587359648469 9.091634264177104 2.7747541883461357 69.09134917046394 0.7637782813759807 0.10050451867818523 0.030673839933191564 0.00037117312628694345 0.0013908164874026953 0.0 0.011348906457940056
8.64 5.788350244853812 80.95486459606745 9.088772033028048 2.7738715689822553 69.09122255163794 0.763778705377987 0.10047311772011536 0.03066415613441097 0.00037118006761984194 0.0015502883757402203 0.0 0.01141102492952152
