% Gypsum 34 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)
  0.000000        9.225        2.227            0        0.001          0.1         0.01         0.01            0
  0.017293       9.0489      2.14671   0.00109736   0.00433051     0.126901         0.01    0.0122526    0.0395824
  0.034586      8.90632      2.08318   0.00219462   0.00766065     0.153801         0.01    0.0140856    0.0707648
  0.051880      8.78543      2.03049   0.00329178    0.0109904     0.180702         0.01    0.0156468    0.0965049
  0.069173      8.67975       1.9854   0.00438886    0.0143199     0.207602         0.01    0.0170174     0.118429
  0.086466      8.58532      1.94594   0.00548586    0.0176488     0.234503    0.0100004    0.0182469     0.137528
  0.103759      8.49953      1.91081   0.00658279    0.0209656     0.261404    0.0100124    0.0193679     0.154452
  0.121053      8.42059      1.87909   0.00767965    0.0242651     0.288304    0.0100416    0.0204031     0.169657
  0.138346      8.34719      1.85014   0.00877644    0.0275475     0.315205    0.0100876    0.0213686     0.183467
  0.155639      8.27836      1.82348   0.00987317    0.0308128     0.342105    0.0101504    0.0222766     0.196125
  0.172932      8.21339      1.79875    0.0109698    0.0340614     0.369006    0.0102298    0.0231361     0.207812
  0.190226      8.15169      1.77565    0.0120665    0.0372933     0.395906    0.0103256    0.0239544     0.218673
  0.207519      8.09282      1.75397     0.013163    0.0405087     0.422807    0.0104376     0.024737     0.228819
  0.224812      8.03642      1.73352    0.0142595    0.0437078     0.449708    0.0105657    0.0254886     0.238344
  0.242105      7.98218      1.71415    0.0153559    0.0468908     0.476608    0.0107098    0.0262128     0.247322
  0.259398      7.92986      1.69574    0.0164523    0.0500577     0.503509    0.0108696    0.0269128     0.255815
  0.276692      7.87926      1.67818    0.0175487    0.0532089     0.530409     0.011045    0.0275912     0.263874
  0.293985      7.83018       1.6614    0.0186449    0.0563444      0.55731     0.011236    0.0282501     0.271545
  0.311278       7.7825       1.6453    0.0197412    0.0594643     0.584211    0.0114422    0.0288915     0.278865
  0.328571      7.73606      1.62983    0.0208374    0.0625689     0.611111    0.0116636     0.029517     0.285867
  0.345865      7.69078      1.61494    0.0219335    0.0656583     0.638012       0.0119    0.0301279     0.292578
  0.363158      7.64654      1.60057    0.0230296    0.0687326     0.664912    0.0121512    0.0307255     0.299023
  0.380451      7.60326      1.58668    0.0241256     0.071792     0.691813    0.0124172     0.031311     0.305224
  0.397744      7.56087      1.57323    0.0252216    0.0748367     0.718713    0.0126977    0.0318851     0.311199
  0.415038       7.5193      1.56019    0.0263175    0.0778668     0.745614    0.0129927    0.0324488     0.316967
  0.432331      7.47849      1.54753    0.0274134    0.0808823     0.772515    0.0133019    0.0330028     0.322541
  0.449624      7.43838      1.53522    0.0285093    0.0838836     0.799415    0.0136253    0.0335478     0.327935
  0.466917      7.39893      1.52324    0.0296051    0.0868707     0.826316    0.0139626    0.0340844     0.333162
  0.484211      7.36009      1.51156    0.0307008    0.0898437     0.853216    0.0143138    0.0346131     0.338232
  0.501504      7.32183      1.50018    0.0317965    0.0928029     0.880117    0.0146787    0.0351344     0.343155
  0.518797      7.28411      1.48906    0.0328922    0.0957483     0.907018    0.0150572    0.0356489     0.347941
  0.536090       7.2469       1.4782    0.0339878      0.09868     0.933918    0.0154492    0.0361568     0.352596
  0.553383      7.21016      1.46757    0.0350833     0.101598     0.960819    0.0158544    0.0366585      0.35713
  0.570677      7.17388      1.45717    0.0361789     0.104503     0.987719    0.0162728    0.0371545     0.361549
  0.587970      7.13801      1.44698    0.0372743     0.107395      1.01462    0.0167043     0.037645     0.365858
  0.605263      7.10256      1.43699    0.0383698     0.110274      1.04152    0.0171487    0.0381302     0.370064
  0.622556      7.06748      1.42719    0.0394652     0.113139      1.06842    0.0176058    0.0386106     0.374173
  0.639850      7.03276      1.41758    0.0405605     0.115992      1.09532    0.0180756    0.0390862     0.378188
  0.657143      6.99839      1.40813    0.0416558     0.118832      1.12222    0.0185579    0.0395574     0.382116
  0.674436      6.96435      1.39885    0.0427511      0.12166      1.14912    0.0190526    0.0400243     0.385959
  0.691729      6.93061      1.38972    0.0438463     0.124475      1.17602    0.0195595    0.0404872     0.389722
  0.709023      6.89718      1.38074    0.0449414     0.127278      1.20292    0.0200786    0.0409461     0.393408
  0.726316      6.86403      1.37191    0.0460366     0.130069      1.22982    0.0206097    0.0414014     0.397022
  0.743609      6.83114       1.3632    0.0471316     0.132847      1.25673    0.0211527    0.0418532     0.400566
  0.760902      6.79852      1.35463    0.0482267     0.135614      1.28363    0.0217075    0.0423015     0.404043
  0.778195      6.76615      1.34618    0.0493217     0.138369      1.31053    0.0222739    0.0427466     0.407456
  0.795489      6.73401      1.33785    0.0504166     0.141112      1.33743    0.0228519    0.0431886     0.410807
  0.812782       6.7021      1.32963    0.0515115     0.143843      1.36433    0.0234412    0.0436276       0.4141
  0.830075      6.67041      1.32152    0.0526064     0.146564      1.39123    0.0240419    0.0440636     0.417337
  0.847368      6.63892      1.31352    0.0537012     0.149272      1.41813    0.0246537     0.044497     0.420518
  0.864662      6.60764      1.30561     0.054796      0.15197      1.44503    0.0252766    0.0449276     0.423648
  0.881955      6.57656       1.2978    0.0558907     0.154656      1.47193    0.0259105    0.0453557     0.426728
  0.899248      6.54566      1.29009    0.0569854     0.157332      1.49883    0.0265552    0.0457812     0.429758
  0.916541      6.51494      1.28246      0.05808     0.159996      1.61083    0.0272107    0.0462044     0.432742
  0.933835       6.4844      1.27493    0.0591746      0.16265      1.72669     0.027877    0.0466252     0.435681
  0.951128      6.45402      1.26747    0.0602692     0.165292      1.84256     0.028554    0.0470438     0.438575
  0.968421      6.42382       1.2601    0.0613637     0.167924      1.95842    0.0292415    0.0474601     0.441426
  0.985714      6.39377      1.25281    0.0624582     0.170545      2.07429    0.0299396    0.0478743     0.444236
  1.003008      6.36387      1.24559    0.0635526     0.173156      2.19015     0.030648    0.0482865     0.447006
  1.020301      6.33412      1.23845     0.064647     0.175756      2.30602    0.0313667    0.0486967     0.449738
