% Basalt 40 C degree
% Time(days)  H2  CO2  CH4  H2S  SO4  FeS  Biomass  Acetate (mmol/L)
  0.000000        9.092        2.547        0.001        0.001            0         0.01         0.01            0
  0.027820      8.74514      2.50344    0.0230801    0.0542058    0.0404648     0.010691    0.0150882    0.0107374
  0.055639      8.56551      2.47974    0.0326827    0.0799613    0.0809296    0.0131885    0.0177029    0.0177864
  0.083459      8.42465      2.46149    0.0400954    0.0986361     0.121394    0.0168976    0.0197513    0.0232029
  0.111278      8.30388      2.44626    0.0464412      0.11343     0.161859    0.0215107    0.0215069    0.0276403
  0.139098      8.19577      2.43303    0.0521392      0.12566     0.202324    0.0268406    0.0230785    0.0314059
  0.166917      8.09647      2.42122    0.0573985     0.136038     0.242789    0.0327573    0.0245221    0.0346736
  0.194737      8.00368      2.41051    0.0623406     0.145001     0.283254    0.0391636    0.0258709    0.0375534
  0.222556      7.91592      2.40067    0.0670429     0.152847     0.323718    0.0459839    0.0271469    0.0401201
  0.250376      7.83215      2.39153    0.0715582     0.159788     0.364183    0.0531578    0.0283649    0.0424273
  0.278195      7.75162      2.38297    0.0759242     0.165983     0.404648    0.0606356    0.0295358    0.0445153
  0.306015      7.67377      2.37492     0.080169     0.171555     0.445113    0.0683763    0.0306677     0.046415
  0.333835      7.59817      2.36729    0.0843137     0.176601     0.485578    0.0763452     0.031767     0.048151
  0.361654      7.52447      2.36003    0.0883751       0.1812     0.526042    0.0845128    0.0328386    0.0497431
  0.389474      7.45239       2.3531    0.0923664     0.185415     0.566507    0.0928542    0.0338864    0.0512076
  0.417293      7.38173      2.34646    0.0962982       0.1893     0.606972     0.101348    0.0349137    0.0525582
  0.445113      7.31228      2.34006     0.100179     0.192899     0.647437     0.109974    0.0359232    0.0538063
  0.472932       7.2439       2.3339     0.104017     0.196251     0.687902     0.118718     0.036917     0.054962
  0.500752      7.17645      2.32795     0.107817     0.199387     0.728366     0.127565    0.0378971    0.0560337
  0.528571      7.10983      2.32217     0.111585     0.202335     0.768831     0.136503    0.0388651    0.0570288
  0.556391      7.04393      2.31657     0.115325      0.20512     0.809296      0.14552    0.0398223    0.0579539
  0.584211      6.97868      2.31112     0.119041     0.207761     0.849761     0.154607    0.0407699    0.0588148
  0.612030      6.91401      2.30581     0.122735     0.210277     0.890226     0.163756     0.041709    0.0596165
  0.639850      6.84985      2.30062     0.126411     0.212683      0.93069     0.172958    0.0426404    0.0603638
  0.667669      6.78615      2.29555     0.130072     0.214994     0.971155     0.182209    0.0435649    0.0610606
  0.695489      6.72286      2.29059     0.133718     0.217221      1.01162     0.191501    0.0444832    0.0617108
  0.723308      6.65993      2.28573     0.137352     0.219375      1.05208      0.20083    0.0453959    0.0623177
  0.751128      6.59734      2.28095     0.140976     0.221465      1.09255      0.21019    0.0463036    0.0628844
  0.778947      6.53504      2.27627      0.14459       0.2235      1.13301     0.219579    0.0472067    0.0634137
  0.806767        6.473      2.27165     0.148197     0.225487      1.17348     0.228991    0.0481057    0.0639081
  0.834586      6.41121      2.26712     0.151797     0.227433      1.21394     0.238424    0.0490009      0.06437
  0.862406      6.34963      2.26264     0.155391     0.229344      1.25441     0.247875    0.0498927    0.0648016
  0.890226      6.28824      2.25823      0.15898     0.231224      1.29487     0.257341    0.0507814    0.0652049
  0.918045      6.22703      2.25388     0.162565     0.233079      1.33534      0.26682    0.0516672    0.0655818
  0.945865      6.16597      2.24957     0.166146     0.234913       1.3758     0.276309    0.0525505    0.0659338
  0.973684      6.10505      2.24532     0.169725     0.236729      1.41627     0.285807    0.0534315    0.0662627
  1.001504      6.04425      2.24112     0.173301     0.238531      1.45673     0.295313    0.0543103    0.0665698
  1.029323      5.98357      2.23695     0.176876     0.240323       1.4972     0.304824    0.0551872    0.0668566
  1.057143      5.92298      2.23283     0.180449     0.242105      1.53766     0.314338    0.0560623    0.0671244
  1.084962      5.86248      2.22874     0.184021     0.243882      1.57813     0.323856    0.0569357    0.0673743
  1.112782      5.80202      2.22468     0.187594     0.245669      1.62982     0.333369    0.0578082     0.067607
  1.140602      5.74138      2.22065     0.191185     0.247558      1.69474     0.342829    0.0586833    0.0678203
  1.168421      5.68051      2.21663     0.194794     0.249562      1.75965     0.352232    0.0595615    0.0680152
  1.196241      5.61941      2.21263      0.19842     0.251674      1.82456     0.361579    0.0604426    0.0681931
  1.224060      5.55811      2.20865     0.202064      0.25389      1.88947     0.370874    0.0613265    0.0683554
  1.251880      5.49661      2.20468     0.205724     0.256205      1.95439      0.38012    0.0622132    0.0685032
  1.279699       5.4349      2.20072       0.2094     0.258614       2.0193     0.389318    0.0631024    0.0686378
  1.307519        5.373      2.19676     0.213091     0.261113      2.08421     0.398472    0.0639943    0.0687601
  1.335338      5.31091      2.19282     0.216796     0.263701      2.14912     0.407582    0.0648886    0.0688712
  1.363158      5.24863      2.18888     0.220516     0.266374      2.21404      0.41665    0.0657853    0.0689719
  1.390977      5.18617      2.18495      0.22425     0.269129      2.27895     0.425677    0.0666844    0.0690632
  1.418797      5.12352      2.18102     0.227997     0.271965      2.34386     0.434665    0.0675859    0.0691457
  1.446617      5.06069      2.17709     0.231758     0.274879      2.40877     0.443614    0.0684896    0.0692202
  1.474436      4.99768      2.17317     0.235532     0.277871      2.47368     0.452526    0.0693957    0.0692873
  1.502256      4.93449      2.16924     0.239319     0.280938       2.5386       0.4614     0.070304    0.0693476
  1.530075      4.87112      2.16532     0.243119      0.28408      2.60351     0.470239    0.0712146    0.0694018
