  0.000000000000e+00	  7.000000000000e+00	  2.900000000000e+00	  0.000000000000e+00	  2.900000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  3.700000000000e-04	  0.000000000000e+00	  7.000000000000e-04	  4.100000000001e-03	
  9.600000000000e-01	  5.866703348987e+00	  8.032026249475e+01	  9.100651688525e+00	  2.169125785505e+00	  6.904932977184e+01	  1.003528584811e-01	  2.391894343731e-02	  7.614067493156e-01	  4.573989389295e-04	  1.407345561813e-04	  3.311986649696e-07	  1.012970708136e-02	
  1.920000000000e+00	  5.865517710592e+00	  8.031530731224e+01	  9.096966836812e+00	  2.168012010165e+00	  6.904917342823e+01	  1.003125332148e-01	  2.390673514384e-02	  7.614073599709e-01	  4.574455033673e-04	  3.457444280240e-04	  8.903283290902e-12	  1.020831732985e-02	
  2.880000000000e+00	  5.864378469216e+00	  8.031048478900e+01	  9.093387905150e+00	  2.166923559559e+00	  6.904901811694e+01	  1.002733639341e-01	  2.389480323194e-02	  7.614078927610e-01	  4.574512103348e-04	  5.448782151307e-04	  1.529214005899e-17	  1.028505304260e-02	
  3.840000000000e+00	  5.863279246650e+00	  8.030579934090e+01	  9.089911962079e+00	  2.165864011004e+00	  6.904886799647e+01	  1.002353207227e-01	  2.388318772400e-02	  7.614084116575e-01	  4.574567988544e-04	  7.382869267368e-04	  1.370890900447e-22	  1.035975254986e-02	
  4.800000000000e+00	  5.862218346665e+00	  8.030124677569e+01	  9.086535775253e+00	  2.164832613743e+00	  6.904872285737e+01	  1.001983683068e-01	  2.387188043055e-02	  7.614089170050e-01	  4.574622711868e-04	  9.261499016359e-04	  0.000000000000e+00	  1.043246863093e-02	
  5.760000000000e+00	  5.861194059369e+00	  8.029682268167e+01	  9.083255957803e+00	  2.163828555002e+00	  6.904858248732e+01	  1.001624697148e-01	  2.386087247957e-02	  7.614094091776e-01	  4.574676274672e-04	  1.108655109059e-03	  0.000000000000e+00	  1.050325843514e-02	
  6.720000000000e+00	  5.860205775438e+00	  8.029252684935e+01	  9.080072256091e+00	  2.162851944796e+00	  6.904844682030e+01	  1.001276222541e-01	  2.385016511018e-02	  7.614098881007e-01	  4.574728672312e-04	  1.285816254390e-03	  0.000000000000e+00	  1.057211413291e-02	
  7.680000000000e+00	  5.859251222772e+00	  8.028835229304e+01	  9.076979383967e+00	  2.161901371353e+00	  6.904831556821e+01	  1.000937681561e-01	  2.383974288000e-02	  7.614103544448e-01	  4.574779951475e-04	  1.457927031069e-03	  0.000000000000e+00	  1.063913507930e-02	
  8.640000000000e+00	  5.858328864264e+00	  8.028429442486e+01	  9.073973858741e+00	  2.160975925745e+00	  6.904818853450e+01	  1.000608693729e-01	  2.382959585186e-02	  7.614108086406e-01	  4.574830119439e-04	  1.625180887985e-03	  0.000000000000e+00	  1.070438529231e-02	
  9.600000000000e+00	  5.857437868966e+00	  8.028035188125e+01	  9.071054583847e+00	  2.160075436824e+00	  6.904806562321e+01	  1.000289139745e-01	  2.381972217799e-02	  7.614112507529e-01	  4.574879178288e-04	  1.787638483847e-03	  0.000000000000e+00	  1.076787673185e-02	
  1.056000000000e+01	  5.856576925580e+00	  8.027652098691e+01	  9.068218757616e+00	  2.159199193986e+00	  6.904794667105e+01	  9.999787136086e-02	  2.381011409340e-02	  7.614116811141e-01	  4.574927152267e-04	  1.945455397250e-03	  0.000000000000e+00	  1.082965940808e-02	
  1.152000000000e+01	  5.855745500936e+00	  8.027280119770e+01	  9.065465907495e+00	  2.158347185072e+00	  6.904783161854e+01	  9.996773641918e-02	  2.380077148823e-02	  7.614120997170e-01	  4.574974015750e-04	  2.098657636293e-03	  0.000000000000e+00	  1.088973412844e-02	
  1.248000000000e+01	  5.854942051299e+00	  8.026918771246e+01	  9.062792405211e+00	  2.157518433346e+00	  6.904772026926e+01	  9.993846949648e-02	  2.379168367745e-02	  7.614125070272e-01	  4.575019818080e-04	  2.247446798745e-03	  0.000000000000e+00	  1.094816964656e-02	
