% Gypsum at 34 C (µmol) 
% time(days)    H2   CO2      CH4  H2S    pH    SO4(mM)    1 µmol/L = 0.001mM
0.0 9225 2227 0   1   7.0 13.5 
0.9 8891 2249 8   21  7.1 30.1
1.9 7347 1933 80  146 7.2 28.8
2.9 3755 1179 351 456 7.2 32.1
3.9 1013  643 599 691 7.3 32.6
6.9    1  470 696 724 7.6 40.8
