Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
0.8757515,9.071132,2.4629322,8.3800807e-05,0.011619204,1.2254336,14.630908,5.9829489,0.01,0.032887173,0.037361253,0,0.29975792,0.53661651,0.1,0.1822783,0.11747962,0.013327606,0.018819155,0,0.090598943
0.91382766,9.0708543,2.4628292,9.170617e-05,0.011606671,1.2245131,14.630074,5.9947796,0.01,0.035084669,0.040947477,0,0.30133869,0.55395216,0.1,0.18209283,0.11924586,0.014368261,0.020345712,0,0.097866813
0.95190381,9.0705544,2.462718,0.00010022914,0.011594476,1.223518,14.629172,6.0065448,0.01,0.037458567,0.044821528,0,0.30295736,0.5708364,0.1,0.18191424,0.12104312,0.015491345,0.021997474,0,0.10572505
0.98997996,9.0702304,2.4625979,0.00010941862,0.011582665,1.2224422,14.628198,6.0182397,0.01,0.040023187,0.049006776,0,0.30461593,0.58727071,0.1,0.18174337,0.12287257,0.016703321,0.023784578,0,0.11422106
1.0280561,9.0698804,2.4624681,0.00011932733,0.011571285,1.2212793,14.627146,6.0298589,0.01,0.042793999,0.053528466,0,0.30631656,0.60325678,0.1,0.1815811,0.12473546,0.018011135,0.025717946,0,0.12340591
1.0661323,9.0695022,2.4623279,0.00013001212,0.011560388,1.2200223,14.626009,6.0413967,0.01,0.04578771,0.058413859,0,0.30806159,0.61879664,0.1,0.18142841,0.12663318,0.019422258,0.027809346,0,0.13333457
1.1042084,9.0690937,2.4621765,0.00014153431,0.011550192,1.2186636,14.624781,6.0528468,0.01,0.049022363,0.063692402,0,0.30984269,0.63389264,0.1,0.1813938,0.12844889,0.020945975,0.030072561,0,0.14407156
1.1422846,9.0686523,2.4620128,0.0001539647,0.011551026,1.2171904,14.623452,6.0642023,0.01,0.052518303,0.069397238,0,0.31097834,0.64854758,0.1,0.18188895,0.12908939,0.022604081,0.032533157,0,0.15573761
1.1803607,9.0681753,2.4618359,0.00016738026,0.011559176,1.2155935,14.622015,6.0754554,0.01,0.056297637,0.075564379,0,0.3117238,0.66276467,0.1,0.18215479,0.12956901,0.024397102,0.035198365,0,0.1683655
1.2184369,9.0676596,2.4616448,0.00018186057,0.011569807,1.2138653,14.620461,6.0865983,0.01,0.060383632,0.082231771,0,0.3124095,0.67654761,0.1,0.18238486,0.13002463,0.026334317,0.038083553,0,0.18202686
1.256513,9.0671021,2.4614381,0.0001974911,0.011581903,1.2119957,14.618781,6.0976222,0.01,0.064801353,0.089440294,0,0.31311185,0.68990058,0.1,0.18262383,0.13048801,0.028426801,0.041206214,0,0.19680333
1.2945892,9.0664993,2.4612146,0.00021436394,0.011595311,1.2099737,14.616965,6.1085178,0.01,0.069577858,0.097234078,0,0.31385046,0.70282823,0.1,0.1828831,0.13096735,0.030686728,0.044585413,0,0.21278389
1.3326653,9.0658477,2.4609731,0.00023257845,0.011610077,1.2077872,14.615001,6.119275,0.01,0.074742362,0.10566078,0,0.3146324,0.7153357,0.1,0.18316673,0.13146567,0.033127257,0.048241714,0,0.23006454
1.3707415,9.0651432,2.4607119,0.00025224177,0.011626298,1.205423,14.612878,6.1298828,0.01,0.080326407,0.11477183,0,0.31546215,0.72742858,0.1,0.18347724,0.13198491,0.035762547,0.052197246,0,0.24874857
1.4088176,9.0643815,2.4604296,0.00027346942,0.011644091,1.2028671,14.610582,6.1403296,0.01,0.086364035,0.12462277,0,0.31634381,0.73911294,0.1,0.18381694,0.13252687,0.038607809,0.056475784,0,0.26894696
1.4468938,9.0635579,2.4601244,0.00029638595,0.011663583,1.2001043,14.608101,6.1506025,0.01,0.09289197,0.13527349,0,0.31728165,0.75039523,0.1,0.18418823,0.13309342,0.041679376,0.061102851,0,0.29077888
1.4849699,9.0626676,2.4597944,0.00032112554,0.011684913,1.1971184,14.605419,6.160688,0.01,0.099949823,0.1467886,0,0.31828026,0.76128233,0.1,0.18459367,0.13368659,0.044994769,0.06610582,0,0.31437214
1.5230461,9.0617051,2.4594377,0.00034783276,0.011708228,1.1938919,14.60252,6.1705711,0.01,0.10758029,0.15923774,0,0.31934456,0.77178149,0.1,0.18503603,0.13430854,0.04857277,0.071514016,0,0.33986374
1.5611222,9.0606646,2.4590521,0.00037666328,0.011733691,1.1904062,14.599387,6.180236,0.01,0.11582938,0.17269596,0,0.32047987,0.78190026,0.1,0.18551825,0.13496162,0.05243349,0.077358822,0,0.36740032
1.5991984,9.0595399,2.4586354,0.00040778464,0.011761474,1.1866413,14.596001,6.1896656,0.01,0.12474664,0.18724407,0,0.32169191,0.79164655,0.1,0.18604354,0.13564836,0.056598451,0.083673777,0,0.39713871
1.6372745,9.0583241,2.4581849,0.00044137711,0.011791762,1.1825758,14.592343,6.1988412,0.01,0.13438539,0.20296905,0,0.32298682,0.80102849,0.1,0.18661533,0.13637149,0.061090653,0.090494677,0,0.42924638
1.6753507,9.0570102,2.4576981,0.00047763452,0.011824758,1.1781869,14.58839,6.2077431,0.01,0.14480301,0.2199645,0,0.32437124,0.81005446,0.1,0.1872373,0.13713394,0.065934648,0.097859669,0,0.46390193
1.7134269,9.0555902,2.457172,0.00051676519,0.011860675,1.1734503,14.58412,6.21635,0.01,0.15606117,0.238331,0,0.32585229,0.81873305,0.1,0.18791341,0.13793887,0.071156612,0.10580933,0,0.50129552
1.751503,9.0540558,2.4566036,0.00055899287,0.011899746,1.16834,14.579509,6.2246388,0.01,0.16822611,0.25817662,0,0.3274376,0.827073,0.1,0.18864791,0.13878969,0.076784408,0.11438674,0,0.54162929
1.7895792,9.052398,2.4559895,0.00060455772,0.011942219,1.1628286,14.57453,6.2325849,0.01,0.18136893,0.27961735,0,0.32913537,0.83508319,0.1,0.18944533,0.13969004,0.082847648,0.12363753,0,0.58511762
1.8276553,9.0506072,2.4553261,0.00065371733,0.011988361,1.1568869,14.569154,6.2401619,0.01,0.19556588,0.30277759,0,0.3309544,0.84277261,0.1,0.19031056,0.14064384,0.089377741,0.13360995,0,0.63198745
1.8657315,9.0486729,2.4546097,0.00070674773,0.012038456,1.150484,14.563353,6.2473416,0.01,0.21089865,0.32779061,0,0.33290409,0.8501503,0.1,0.19124879,0.1416553,0.096407937,0.14435483,0,0.68247836
1.9038076,9.0465843,2.4538362,0.00076394451,0.012092811,1.1435874,14.557093,6.2540937,0.01,0.22745468,0.35479904,0,0.33499451,0.85722535,0.1,0.19226558,0.14272893,0.10397334,0.15592557,0,0.73684258
1.9418838,9.0443293,2.4530011,0.0008256238,0.012151751,1.1361627,14.55034,6.2603859,0.01,0.2453274,0.38395538,0,0.33723638,0.86400686,0.1,0.19336686,0.14386952,0.11211094,0.1683781,0,0.79534479
1.9799599,9.0418953,2.4520998,0.00089212342,0.012215626,1.1281741,14.543058,6.2661837,0.01,0.26461659,0.41542241,0,0.33964115,0.87050392,0.1,0.19455892,0.14508223,0.12085954,0.18177071,0,0.85826173
2.0180361,9.0392688,2.4511273,0.00096380384,0.012284806,1.1195839,14.535209,6.2714504,0.01,0.2854286,0.44937368,0,0.342221,0.87672558,0.1,0.19584847,0.14637253,0.13025977,0.1961639,0,0.92588152
2.0561122,9.0364355,2.4500783,0.0010410493,0.012359688,1.1103532,14.526752,6.276147,0.01,0.30787661,0.48599389,0,0.34498886,0.88268082,0.1,0.19724262,0.14774625,0.14035395,0.21162013,0,0.99850263
2.0941884,9.03338,2.4489472,0.0011242684,0.01244069,1.1004414,14.517643,6.2802319,0.01,0.33208086,0.52547933,0,0.34795844,0.88837857,0.1,0.19874887,0.14920957,0.15118595,0.22820343,0,1.0764325
2.1322645,9.030086,2.4477279,0.0012138957,0.012528258,1.089807,14.507837,6.2836614,0.01,0.35816886,0.56803808,0,0.35114421,0.89382762,0.1,0.20037516,0.15076905,0.16280103,0.245979,0,1.1599858
2.1703407,9.0265365,2.4464141,0.0013103915,0.012622862,1.0784073,14.497286,6.2863889,0.01,0.38627549,0.61389034,0,0.35456145,0.89903667,0.1,0.20212983,0.15243162,0.17524557,0.26501256,0,1.2494817
2.2084168,9.0227131,2.4449991,0.0014142429,0.012724999,1.0661994,14.485941,6.2883658,0.01,0.41654306,0.66326849,0,0.35822621,0.90401428,0.1,0.20402165,0.15420456,0.18856669,0.28536968,0,1.3452411
2.246493,9.0185966,2.4434758,0.0015259642,0.012835192,1.0531399,14.473749,6.2895407,0.01,0.44912136,0.71641709,0,0.36215529,0.90876887,0.1,0.20605977,0.15609553,0.20281185,0.30711484,0,1.4475825
2.2845691,9.014167,2.4418368,0.0016460967,0.012953987,1.0391859,14.460656,6.2898598,0.01,0.48416751,0.77359274,0,0.36636625,0.9133087,0.1,0.20825371,0.15811254,0.21802828,0.33031037,0,1.5568177
2.3226453,9.0094031,2.4400743,0.0017752083,0.013081958,1.0242957,14.446606,6.2892673,0.01,0.52184571,0.83506365,0,0.37087728,0.91764187,0.1,0.21061335,0.16026393,0.23426227,0.35501509,0,1.6732455
2.3607214,9.0042829,2.4381802,0.0019138931,0.013219699,1.0084292,14.431543,6.287705,0.01,0.56232689,0.90110908,0,0.37570721,0.92177628,0.1,0.21314887,0.16255833,0.25155838,0.38128276,0,1.7971452
2.3987976,8.9987834,2.4361461,0.0020627697,0.013367827,0.99154917,14.415406,6.2851128,0.01,0.60578815,0.97201844,0,0.38087536,0.92571968,0.1,0.2158707,0.16500466,0.26995838,0.40916026,0,1.9287683
2.4368737,8.9928811,2.4339632,0.0022224797,0.013526976,0.97362232,14.398139,6.2814292,0.01,0.65241196,1.04809,0,0.38640147,0.9294796,0.1,0.21878944,0.16761203,0.28950006,0.43868539,0,2.0683288
2.4749499,8.9865514,2.4316227,0.0023936847,0.013697797,0.95462052,14.37968,6.2765914,0.01,0.70238523,1.1296293,0,0.39230548,0.93306339,0.1,0.22191578,0.17038969,0.31021582,0.46988448,0,2.2159923
