time_d pH Ptot_atm pH2_atm pCO2_atm pCH4_atm CH4_g_mol H2_g_mol CO2_g_mol SO4 Formate Acetate Ca
0.0 7.0 2.9303834448953183 0.0 2.9303834448953183 0.0 0.0 0.0 0.0 0.00037000000000000016 0.0 1.0000000000000008e-06 0.0041
0.96 5.851052768623483 80.33734787456491 9.10869789372598 2.1838908584548933 69.0427205641728 0.7613630344805444 0.1004454316379923 0.02408268036629588 0.0003719638657439441 0.00011025388439736916 7.182803712459775e-12 0.010517544553777543
1.92 5.849880675542493 80.33263321357498 9.105201225430646 2.182824156491813 69.04256896180298 0.7613635480689837 0.1004071606128693 0.02407098648829687 0.00037196974316755006 0.00030462210271449587 1.689337797639431e-17 0.010592698747531463
2.88 5.848786431798986 80.32804343122302 9.10180362260653 2.181775270315906 69.0424253813724 0.7613640542597936 0.10036996917334251 0.024059485977142567 0.00037197607726810174 0.000493510456698375 2.7030595643961495e-24 0.010666630865963913
3.84 5.847729925054385 80.32358310387549 9.098502941053935 2.1807542039376457 69.04228652531444 0.7613645472812609 0.10033383772870472 0.024048290124389204 0.0003719823038413623 0.0006770150451304381 4.859974958363529e-24 0.0107386030971974
4.8 5.846709788030437 80.31924885680519 9.095296587363533 2.179760339452473 69.04215222980515 0.7613650274089313 0.10029873797231015 0.024037392187219217 0.00037198841937954543 0.000855279652540991 0.0 0.010808658934530615
5.76 5.8457247902317935 80.31503830770916 9.092182692332166 2.1787933047537313 69.04202235346884 0.7613654947977178 0.10026464953322492 0.024026788121048415 0.0003719944230029444 0.0010284077470119521 0.0 0.010876824444933222
6.72 5.844772814279681 80.3109446774677 9.089156154610095 2.1778516839996955 69.04189663377754 0.7613659501099149 0.10023151664061579 0.02401646242978157 0.00037200031765082496 0.001196682592536813 0.0 0.0109431993506194
7.68 5.843853084227216 80.3069668206019 9.08621604431203 2.1769353478509132 69.04177498422945 0.7613663933898316 0.10019932918576475 0.024006413722904116 0.0003720061019604971 0.0013601555445333735 0.0 0.011007792689543428
8.64 5.842964927741891 80.30310404548244 9.083361767855253 2.176044269815193 69.04165733305072 0.761366824631306 0.10016808074028644 0.02399664173731428 0.0003720117697300391 0.001518859264127213 0.0 0.011070606235406087
9.6 5.8421068179932885 80.29935155843397 9.080589714272778 2.175177456562763 69.04154349042992 0.7613672442987546 0.10013773183270268 0.023987135603265448 0.0003720173246512795 0.0016729942351178478 0.0 0.011131709963769285
10.56 5.841276617396365 80.29570210241809 9.077894446867115 2.174333352702451 69.04143319082252 0.7613676531269911 0.10010822300363366 0.023977878287853586 0.0003720227740488654 0.001822862446029364 0.0 0.01119121340688544
11.52 5.840473685003513 80.29215442667403 9.075274984708939 2.1735117629101457 69.04132635952539 0.7613680511986445 0.10007954356518237 0.02396886766870578 0.00037202811453414204 0.001968518194485109 0.0 0.011249130302370375
